NAME,TEAM,GAMES,GOALS SCORED,GOALS PER MATCH,ASSISTS,ASSISTS PER MATCH,Completed Pass,Total Pass
ANDRIY LUNIN,REAL MADRID,18,0,0.0,0,0.0,405,474
ANTONIO RÜDIGER,REAL MADRID,26,1,0.04,0,0.0,1355,1506
ARDA GÜLER,REAL MADRID,5,1,0.2,0,0.0,28,31
AURÉLIEN TCHOUAMÉNI,REAL MADRID,24,2,0.08,1,0.04,1212,1315
BRAHIM DÍAZ,REAL MADRID,25,5,0.2,3,0.12,466,538
DANI CARVAJAL,REAL MADRID,23,4,0.17,2,0.09,931,1063
DANI CEBALLOS,REAL MADRID,14,0,0.0,1,0.07,173,196
DAVID ALABA,REAL MADRID,14,0,0.0,1,0.07,803,878
DIEGO PIÑEIRO,REAL MADRID,0,0,0.0,0,0.0,0,0
EDGAR PUJOL,REAL MADRID,0,0,0.0,0,0.0,0,0
EDUARDO CAMAVINGA,REAL MADRID,23,0,0.0,1,0.04,875,962
FEDERICO VALVERDE,REAL MADRID,30,1,0.03,7,0.23,1617,1775
FERLAND MENDY,REAL MADRID,20,0,0.0,0,0.0,916,972
FRAN GARCÍA,REAL MADRID,20,0,0.0,4,0.2,531,598
FRANCISCO JAVIER GONZÁLEZ PÉREZ,REAL MADRID,0,0,0.0,0,0.0,0,0
GONZALO GARCÍA,REAL MADRID,2,0,0.0,0,0.0,4,7
JACOBO RAMÓN,REAL MADRID,0,0,0.0,0,0.0,0,0
JOSÉ IGNACIO FERNÁNDEZ IGLESIAS,REAL MADRID,22,0,0.0,0,0.0,835,905
JOSÉ LUIS SANMARTÍN MATO,REAL MADRID,28,8,0.29,2,0.07,204,271
JUDE BELLINGHAM,REAL MADRID,23,16,0.7,4,0.17,1093,1224
KEPA ARRIZABALAGA REVUELTA,REAL MADRID,12,0,0.0,0,0.0,289,347
LUCAS CAÑIZARES,REAL MADRID,0,0,0.0,0,0.0,0,0
LUCAS VÁZQUEZ,REAL MADRID,23,1,0.04,3,0.13,612,686
LUKA MODRIC,REAL MADRID,25,2,0.08,4,0.16,943,1042
MARIO DE LUIS,REAL MADRID,0,0,0.0,0,0.0,0,0
MARIO MARTÍN,REAL MADRID,0,0,0.0,0,0.0,0,0
NICO PAZ,REAL MADRID,4,0,0.0,0,0.0,18,23
RODRYGO SILVA DE GOES,REAL MADRID,30,10,0.33,5,0.17,753,841
THÉO ZIDANE,REAL MADRID,0,0,0.0,0,0.0,0,0
TONI KROOS,REAL MADRID,29,1,0.03,7,0.24,1959,2074
VINÍCIUS AUGUSTO TOBIAS DA SILVA,REAL MADRID,0,0,0.0,0,0.0,0,0
VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,20,12,0.6,4,0.2,391,500
ÁLVARO CARRILLO,REAL MADRID,0,0,0.0,0,0.0,0,0
ÁLVARO RODRÍGUEZ,REAL MADRID,1,0,0.0,0,0.0,0,0
ÉDER GABRIEL MILITÃO,REAL MADRID,2,0,0.0,0,0.0,35,36
