TEAM,GOALS SCORED,GOALS CONCEDED,SHOTS ON TRAGET,Scoring Efficiency,FOULS,YEELLOW_CARDS,RED CARDS,Aggression Ratio
CÁDIZ CF,21,41,94,22.340425531914892,480,88,6,19.583333333333332
RAYO VALLECANO,25,38,128,19.53125,483,84,4,18.219461697722565
RCD MALLORCA,25,36,108,23.14814814814815,478,85,3,18.410041841004183
DEPORTIVO ALAVÉS,26,38,108,24.074074074074073,386,63,1,16.580310880829018
UD LAS PALMAS,29,35,100,28.999999999999996,332,71,5,22.89156626506024
UD ALMERÍA,30,62,124,24.193548387096776,405,72,4,18.765432098765434
GRANADA CF,32,60,117,27.350427350427353,413,78,3,19.612590799031477
VALENCIA CF,33,32,106,31.132075471698112,384,50,4,14.0625
RC CELTA,33,46,124,26.61290322580645,379,50,5,14.511873350923482
CA OSASUNA,36,43,103,34.95145631067961,427,63,4,15.690866510538642
GETAFE CF,37,43,125,29.599999999999998,527,111,8,22.58064516129032
REAL BETIS,38,37,119,31.932773109243694,353,72,3,21.246458923512748
SEVILLA FC,39,44,137,28.467153284671532,389,87,4,23.39331619537275
REAL SOCIEDAD,45,33,131,34.35114503816794,499,81,2,16.63326653306613
VILLARREAL CF,49,54,137,35.76642335766424,405,85,6,22.469135802469136
ATHLETIC CLUB,51,29,147,34.69387755102041,428,65,3,15.887850467289718
ATLÉTICO DE MADRID,59,36,177,33.33333333333333,362,67,4,19.613259668508288
FC BARCELONA,62,34,182,34.065934065934066,338,71,2,21.597633136094675
GIRONA FC,63,39,153,41.17647058823529,351,65,1,18.803418803418804
REAL MADRID,67,20,200,33.5,304,55,4,19.407894736842106
